date,value,footnote
2025-01-01,30.79,
2025-02-01,30.89,
2025-03-01,31.02,
2025-04-01,31.09,
2025-05-01,31.2,
2025-06-01,31.31,
2025-07-01,31.39,
2025-08-01,31.49,
2025-09-01,31.56,
2025-10-01,31.7,
2025-11-01,31.79,
2025-12-01,31.83,
2026-01-01,31.94,
2026-02-01,32.04,
2026-03-01,32.12,preliminary
2026-04-01,32.23,preliminary
