year,state,state_po,district_id,candidate,party,candidatevotes,totalvotes,vote_pct,avg_poll_pct,n_polls,poll_candidate_matched,match_score,source
1998,Michigan,MI,MI-03,Erwin J Haas,LIBERTARIAN,2537,200251,1.2669,,,,,MEDSL
1998,Michigan,MI,MI-03,Lucille Wiggins,NATURAL LAW,1861,200251,0.9293,,,,,MEDSL
1998,Michigan,MI,MI-04,Dave Camp,REPUBLICAN,155343,170109,91.3197,,,,,MEDSL
1998,Michigan,MI,MI-04,Dan Marsh,LIBERTARIAN,10404,170109,6.1161,,,,,MEDSL
1998,Michigan,MI,MI-04,Stuart J Goldberg,NATURAL LAW,4332,170109,2.5466,,,,,MEDSL
1998,Michigan,MI,MI-05,James A Barcia,DEMOCRAT,135254,189971,71.1972,,,,,MEDSL
1998,Michigan,MI,MI-05,Donald W Brewster,REPUBLICAN,51442,189971,27.0789,,,,,MEDSL
1998,Michigan,MI,MI-05,Clint Foster,LIBERTARIAN,2179,189971,1.147,,,,,MEDSL
1998,Michigan,MI,MI-05,Brian D Ellison,NATURAL LAW,1096,189971,0.5769,,,,,MEDSL
1998,Michigan,MI,MI-06,Fred Upton,REPUBLICAN,113292,161627,70.0947,,,,,MEDSL
1998,Michigan,MI,MI-06,Clarence J Annen,DEMOCRAT,45358,161627,28.0634,,,,,MEDSL
1998,Michigan,MI,MI-06,Glenn Douglas Whitt Jr,LIBERTARIAN,1833,161627,1.1341,,,,,MEDSL
1998,Michigan,MI,MI-06,Ken Asmus,NATURAL LAW,1091,161627,0.675,,,,,MEDSL
1998,Michigan,MI,MI-07,Nick Smith,REPUBLICAN,104656,182127,57.4632,,,,,MEDSL
1998,Michigan,MI,MI-07,Jim Berryman,DEMOCRAT,72998,182127,40.0808,,,,,MEDSL
1998,Michigan,MI,MI-07,Kenneth L Proctor,LIBERTARIAN,2684,182127,1.4737,,,,,MEDSL
1998,Michigan,MI,MI-07,Lynnea Ellison,NATURAL LAW,1789,182127,0.9823,,,,,MEDSL
1998,Michigan,MI,MI-08,Debbie Stabenow,DEMOCRAT,125169,218040,57.4064,,,,,MEDSL
1998,Michigan,MI,MI-08,Susan Grimes Munsell,REPUBLICAN,84254,218040,38.6415,,,,,MEDSL
1998,Michigan,MI,MI-08,John Mangopoulos,REFORM,4654,218040,2.1345,,,,,MEDSL
1998,Michigan,MI,MI-08,Ben Steele Iii,LIBERTARIAN,2750,218040,1.2612,,,,,MEDSL
1998,Michigan,MI,MI-08,Patricia R Allen,NATURAL LAW,1213,218040,0.5563,,,,,MEDSL
1998,Michigan,MI,MI-09,Dale E Kildee,DEMOCRAT,105457,188525,55.9379,,,,,MEDSL
1998,Michigan,MI,MI-09,Tom Mcmillin,REPUBLICAN,79062,188525,41.9371,,,,,MEDSL
1998,Michigan,MI,MI-09,Malcolm Johnson,LIBERTARIAN,4006,188525,2.1249,,,,,MEDSL
