Return to Table of Contents.,,"* Please click on the ""plus"" sign to the left of the years to expand to see monthly data or the ""minus"" sign to hide it.",,,,,,,,,,,,,,
Nationwide CBP Encounters by Encounter Type and Region: Fiscal Years 2014 to 2025 YTD (November 2024),,,,,,,,,,,,,,,,
,,Total CBP,,,,,Enforcement Encounters1,,,,,Administrative Encounters2,,,,
Fiscal Year,Month,Total,SW Land Border,Northern Land Border,Coastal Border,Air Ports of Entry/ Interior,Total,SW Land Border,Northern Land Border,Coastal Border,Air Ports of Entry/ Interior,Total,SW Land Border,Northern Land Border,Coastal Border,Air Ports of Entry/ Interior
,July,54300,40010,2860,2070,9370,42630,37920,1240,390,3090,11670,2090,1620,1680,6280
,August,60410,46550,3010,1910,8940,49560,44550,1320,410,3280,10850,2000,1700,1500,5660
,September,64190,50370,3020,2020,8780,53750,48460,1420,310,3550,10440,1910,1590,1710,5230
2019,Total,1147480,977230,35670,81160,53420,1021800,957410,18360,4630,41410,125680,19820,17310,76530,12020
,October,75370,60780,3490,6660,4450,63980,58920,1330,390,3340,11390,1850,2160,6260,1120
,November,75130,62460,2380,6150,4140,65080,60620,1110,350,3000,10060,1850,1270,5800,1140
,December,73810,60790,2460,6490,4070,63760,59080,1250,350,3080,10050,1710,1210,6140,990
,January,72690,58310,2680,7300,4400,61140,56500,1050,420,3170,11540,1810,1630,6880,1230
,February,89640,76540,2790,6360,3950,79580,74910,1200,330,3140,10060,1630,1590,6040,800
,March,117920,103730,2860,6870,4470,107540,101990,1600,420,3530,10380,1740,1250,6440,940
,April,123520,109410,2550,7100,4460,113180,107690,1510,390,3580,10340,1730,1040,6700,870
,May,158520,144110,2670,6800,4940,148380,142450,1590,390,3960,10140,1670,1080,6410,980
,June,118780,104310,3130,6650,4690,109060,102990,1840,410,3820,9720,1320,1290,6250,870
,July,96090,81750,3480,6500,4360,86070,80380,1970,350,3360,10020,1370,1510,6150,1000
,August,78670,62610,4050,7310,4700,67290,61070,2200,460,3560,11380,1540,1850,6850,1140
,September,67350,52420,3150,6980,4800,56760,50820,1720,360,3860,10590,1610,1420,6610,950
2020,Total,646800,458080,32370,113290,43060,495700,449230,11580,2750,32140,151100,8850,20790,110540,10910
,October,61160,45140,3830,7280,4910,49390,43620,1520,360,3890,11770,1520,2310,6920,1020
,November,57520,42640,3330,6790,4760,46920,41210,1430,410,3880,10600,1430,1910,6380,880
,December,56180,40560,3950,6510,5160,45170,39290,1460,380,4050,11010,1270,2490,6140,1110
,January,52250,36580,3590,6530,5540,41540,35530,1390,370,4250,10710,1060,2200,6160,1290
,February,54880,36690,6700,6330,5160,41300,35580,1400,350,3980,13590,1110,5310,5980,1190
,March,51860,34460,3750,9590,4070,37790,33720,830,260,2980,14070,740,2910,9330,1090
,April,29740,17110,490,11570,570,17430,16990,140,30,280,12310,110,360,11550,290
,May,39880,23240,460,15050,1130,23710,23000,250,70,390,16170,240,210,14980,740
,June,50070,33030,940,14730,1370,34070,32720,410,120,820,15990,310,520,14610,550
,July,53690,40950,1000,8840,2900,43470,40650,590,150,2080,10230,300,410,8690,820
