Return to Table of Contents.,,"* Please click on the ""plus"" sign to the left of the years to expand to see monthly data or the ""minus"" sign to hide it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICE Book-Outs by Criminality: Fiscal Years 2018 to 2025 YTD (November 2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,,,,,,,,Convicted Criminals,,,,,,,,Pending Criminal Charges,,,,,,,,Other Immigration Violators,,,,,,,
Fiscal Year,Month,Total,Removal Book-out1,Order of Supervision2,Bonded Out3,Order of Recognizance4,Paroled5,Relief6,Other7,Total,Removal Book-out1,Order of Supervision2,Bonded Out3,Order of Recognizance4,Paroled5,Relief6,Other7,Total,Removal Book-out1,Order of Supervision2,Bonded Out3,Order of Recognizance4,Paroled5,Relief6,Other7,Total,Removal Book-out1,Order of Supervision2,Bonded Out3,Order of Recognizance4,Paroled5,Relief6,Other7
,March,23440,14860,960,3290,1220,1350,430,1330,11340,9130,340,820,250,30,100,680,2700,1350,70,900,180,10,30,160,9400,4380,550,1580,790,1300,300,490
,April,14620,8650,890,2340,960,1060,340,380,7970,6220,400,620,320,40,110,260,1730,730,60,560,290,20,10,60,4910,1700,430,1160,350,1010,210,60
,May,10960,7070,570,1520,640,580,240,340,6500,5260,250,420,230,30,90,230,1400,680,50,320,270,10,20,50,3060,1130,270,780,150,540,130,60
,June,9600,6270,510,1290,540,370,220,390,5690,4610,230,300,190,10,90,250,1190,580,50,230,240,10,20,60,2720,1070,220,760,120,350,120,80
,July,9010,6000,360,990,470,420,250,520,5430,4450,180,270,130,20,80,290,1160,580,40,240,200,0,20,80,2420,980,130,480,140,400,150,150
,August,9270,6330,300,930,560,370,190,590,5560,4500,170,280,170,10,50,390,1380,780,30,240,240,10,10,80,2330,1060,100,410,140,350,130,130
,September,10070,7170,340,1030,490,230,180,640,6010,4930,190,300,120,10,60,400,1820,1100,40,360,190,0,10,110,2250,1130,110,380,180,220,110,130
2021,Total,221800,55490,10450,11980,101300,36940,740,4900,47600,34300,4170,1950,3530,300,360,2990,12700,5180,970,2170,3000,630,80,670,161500,16000,5310,7860,94770,36010,300,1250
,October,12030,8750,410,1140,610,390,150,580,6780,5550,230,330,220,10,60,370,1970,1270,40,400,140,10,10,90,3280,1930,140,400,240,370,90,110
,November,9050,5550,690,930,1070,240,110,460,5100,3670,340,300,450,10,40,300,1520,720,80,320,300,10,20,80,2430,1160,280,310,320,220,50,90
,December,9830,5600,800,950,1410,420,100,560,5290,3580,450,290,540,10,50,380,1700,760,90,330,380,20,20,100,2830,1260,260,330,480,390,30,80
,January,9770,5580,850,880,1520,450,70,430,5020,3520,430,210,540,10,40,280,1720,820,90,300,430,10,10,70,3030,1240,330,370,550,430,30,90
,February,8660,3410,980,840,2210,770,50,400,3200,1890,470,220,340,10,30,250,940,290,120,230,210,20,10,70,4520,1230,390,400,1660,740,20,80
,March,15840,3460,1900,750,7170,2070,70,420,4010,2420,740,130,410,50,40,240,1000,260,250,120,270,40,10,60,10830,780,900,510,6500,1990,20,130
,April,16460,3330,1040,720,9100,1890,30,360,3340,2350,430,80,260,20,20,190,640,150,100,60,210,70,0,40,12480,830,510,580,8620,1790,10,140
,May,16770,3290,660,1110,9590,1730,30,360,2890,2210,260,80,130,20,20,180,510,150,50,90,130,60,0,30,13370,930,350,940,9330,1660,10,150
,June,24690,3530,830,1570,15860,2540,30,340,2910,2250,240,80,120,20,20,190,560,160,40,80,170,70,0,30,21220,1110,550,1400,15570,2450,10,110
,July,29690,3660,860,1390,16130,7300,40,320,2920,2230,210,80,160,30,20,190,830,170,40,90,370,120,0,40,25940,1250,610,1220,15600,7140,10,90
,August,34740,3570,980,850,20060,8910,30,340,3110,2250,240,100,230,50,20,220,650,170,40,80,200,130,0,30,30980,1150,690,670,19630,8730,10,90
,September,34270,5760,470,870,16580,10220,30,340,3000,2380,130,70,150,40,20,210,670,250,30,90,190,80,0,40,30600,3120,310,710,16250,10100,10,90
2022,Total,310110,56500,7920,27290,134120,79670,630,3980,41850,33230,2380,1210,1570,440,240,2770,10960,5110,440,1390,2330,1010,40,630,257310,18150,5100,24690,130230,78220,340,580
,October,26820,4630,460,1080,11670,8670,50,270,2790,2170,160,80,150,40,20,170,870,380,30,120,210,80,10,40,23170,2080,270,880,11310,8550,20,60
,November,31900,3970,760,1190,14990,10650,50,280,2940,2290,190,70,150,40,20,190,720,270,20,90,200,110,0,30,28240,1420,550,1030,14640,10500,30,60
,December,32030,3660,1140,1060,17320,8550,50,250,2910,2170,260,80,170,30,20,180,720,230,40,80,240,110,0,20,28410,1270,840,900,16910,8410,20,50
,January,27160,2940,1190,700,16960,5130,30,220,2600,2010,240,50,140,20,10,140,530,180,60,70,150,40,0,40,24030,760,890,580,16670,5070,10,40
,February,28790,3460,530,2160,17860,4470,50,260,2900,2370,160,70,120,10,20,160,610,220,30,70,210,50,0,30,25270,870,340,2020,17540,4400,30,70
,March,29960,4480,610,3180,16370,4960,40,320,3670,2940,250,70,110,30,20,240,910,360,40,100,300,60,0,40,25390,1180,330,3010,15950,4870,20,40
,April,23220,4340,560,2400,10920,4610,50,340,3590,2890,190,100,100,30,20,260,840,410,40,90,210,50,0,40,18780,1040,330,2210,10610,4520,30,30
,May,22200,5040,610,2710,7020,6360,50,410,3590,2860,180,110,80,60,20,270,840,450,20,120,90,90,0,70,17770,1740,400,2490,6850,6210,30,60
,June,23650,4900,590,3460,7790,6490,60,360,3810,2990,250,110,120,40,20,290,850,450,30,120,100,120,0,40,18990,1460,320,3240,7570,6330,30,40
,July,21270,5290,420,3060,5530,6550,60,360,3810,3050,170,120,140,50,20,260,1030,550,40,140,140,90,10,60,16430,1680,220,2800,5260,6410,30,40
,August,22160,6550,560,3460,4240,6850,70,440,4520,3650,190,170,160,40,20,290,1420,760,50,190,190,130,0,110,16230,2140,330,3110,3890,6690,40,40
,September,20950,7230,480,2830,3460,6380,90,470,4730,3840,150,190,150,40,30,330,1630,870,40,220,300,80,10,110,14600,2530,290,2420,3020,6260,50,30
2023,Total,259160,104150,5310,17580,39700,85610,1100,5710,61840,49750,1990,2570,2240,890,480,3920,20810,11580,490,2870,3520,1040,100,1200,176510,42820,2830,12150,33940,83680,510,590
,October,17180,6950,430,2680,1870,4750,80,420,4560,3740,120,180,150,30,20,310,1440,790,40,220,250,50,10,90,11180,2410,270,2290,1470,4670,50,20
,November,20170,7080,310,2830,2180,7170,90,510,4590,3700,150,180,190,40,20,320,1600,810,40,260,290,60,0,140,13980,2570,120,2390,1710,7070,70,40
,December,26340,5490,1210,1880,5460,11780,120,400,4570,3480,250,220,240,70,40,280,1670,710,80,250,390,150,10,80,20100,1310,880,1410,4830,11560,70,40
,January,17060,5680,770,920,3220,6000,60,410,4430,3550,200,160,160,40,20,300,1470,800,50,210,290,40,0,90,11160,1330,520,560,2760,5920,30,30
,February,17090,6420,250,1020,2810,6040,100,450,4630,3690,140,210,180,30,40,330,1410,760,30,210,270,70,10,80,11050,1980,80,600,2360,5950,50,40
,March,23620,8700,320,1890,2670,9380,120,530,5730,4640,190,260,180,50,50,380,1930,1050,30,300,320,90,10,120,15960,3020,110,1330,2180,9240,60,30
,April,21550,8340,330,990,3130,8240,80,450,5150,4210,150,230,160,50,40,310,1690,960,40,210,330,40,10,100,14710,3160,140,540,2640,8140,30,40
,May,23280,10180,300,1230,4400,6530,90,560,6070,4950,160,260,210,40,50,400,1960,1160,30,260,350,40,10,110,15260,4070,110,720,3850,6450,30,50
,June,23870,12190,260,930,3180,6720,100,480,5660,4710,140,240,140,50,50,330,1930,1180,30,240,320,50,20,90,16280,6300,90,440,2730,6630,40,60
,July,22000,10210,330,1040,2900,6990,70,460,5120,4140,170,210,120,130,40,310,1880,1070,30,250,260,160,10,100,15010,5000,130,570,2530,6700,20,50
,August,25670,12640,350,1220,4050,6740,100,560,6270,5020,170,250,200,230,50,340,2130,1290,40,250,240,180,20,110,17270,6330,130,720,3620,6330,30,110
,September,21340,10260,450,950,3810,5270,100,490,5060,3920,150,170,320,140,70,310,1710,1000,50,200,230,120,10,100,14560,5350,250,580,3260,5020,30,90
2024,Total,268480,152980,7930,11390,26550,60620,1280,7730,68720,56270,2260,2580,2190,650,570,4200,24170,14400,960,2940,3150,830,130,1770,175600,82320,4700,5880,21210,59140,580,1760
,October,20390,9740,550,940,2920,5630,100,510,5310,4280,160,190,200,100,50,340,1640,930,50,220,230,90,20,100,13440,4540,340,530,2490,5430,40,70
,November,19640,9020,390,940,3070,5630,80,510,5070,4130,170,180,190,50,40,310,1560,890,50,210,210,80,10,120,13010,4000,170,560,2680,5500,30,80
,December,20290,8780,410,980,4460,5130,80,450,5010,4060,190,190,180,60,40,280,1550,890,30,210,250,60,10,100,13720,3840,190,580,4020,5010,30,70
,January,19300,10810,480,690,1940,4730,100,550,5440,4570,170,170,100,80,60,310,1620,1060,40,190,180,50,10,90,12240,5180,270,340,1660,4610,40,150
,February,22140,12640,360,850,2270,5260,90,680,5620,4640,150,180,250,50,30,330,1650,1010,40,190,250,50,10,110,14870,6990,160,490,1780,5160,40,240
,March,24400,12990,980,1090,2420,6020,110,800,5830,4680,180,220,310,40,40,370,2130,1130,80,260,350,60,10,230,16440,7190,730,600,1760,5910,70,190
,April,23650,13730,1160,1080,1500,5350,120,720,6130,5020,200,230,180,70,50,400,2080,1260,100,280,240,70,10,130,15440,7450,860,570,1090,5210,70,190
,May,25960,16340,1060,1020,1750,4780,140,870,6320,5190,230,250,190,30,60,380,2480,1390,110,270,350,90,10,270,17160,9750,710,510,1210,4670,80,230
,June,23730,15370,800,890,1730,4220,110,620,5590,4630,170,240,170,30,40,310,2150,1270,100,260,330,60,20,120,16000,9470,520,390,1240,4120,60,200
,July,24750,15640,630,970,1880,4810,140,690,6210,5070,210,260,170,50,70,390,2330,1470,120,270,240,80,10,140,16210,9100,300,450,1470,4680,60,160
,August,23630,14850,640,1050,1290,4980,120,700,6340,5180,240,260,140,50,50,420,2580,1580,130,320,280,90,10,180,14700,8090,270,470,870,4840,50,110
,September,20610,13080,490,900,1320,4090,90,630,5840,4830,190,220,130,50,40,360,2400,1530,120,280,250,40,10,180,12370,6720,180,400,940,4000,40,90
2025 YTD,Total,42590,26250,910,1650,2950,9250,220,1350,11630,9600,370,400,270,120,80,790,5160,3340,210,590,590,80,30,320,25790,13310,340,660,2090,9050,110,230
,October,21710,13640,460,910,1490,4380,130,690,5910,4820,190,210,150,60,60,430,2660,1660,110,340,340,40,10,170,13140,7160,170,360,1010,4280,60,100
,November,20880,12610,450,740,1460,4870,90,660,5720,4780,180,180,120,60,30,360,2500,1680,100,250,260,50,10,160,12650,6150,170,300,1080,4770,50,130
"1The noncitizen was released from custody to be removed from the United States to their country of origin.  This release reason category includes noncitizens ordered removed by an Immigration Judge (IJ) , granted voluntary departure by the IJ or the agency, requested to voluntary return, withdrew their application for admission, and Title 42 expulsions. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2The noncitizen has a final order of removal with no appeals pending with the Board of Immigration Appeals (BIA) and was released from custody subject to reasonable conditions pursuant to INA section 241(a)(3) of the Immigration and Nationality Act (INA).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3The noncitizen was released from custody on Bond subject to conditions pursuant to section 236(a) of the INA. Immigration bonds are primarily issued to release a noncitizen who has been placed in removal proceedings before an IJ. This release reason category also includes Bonds approved by the agency. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4The noncitizen is in removal proceedings after having been issued a Notice to Appear (NTA) or has an appeal pending with the BIA and was released from custody subject to reasonable conditions pursuant to section 236(a) of the INA. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5The arriving noncitizen has been released from custody on Parole subject to reasonable conditions pursuant to section 212(d)(5) of the INA. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6The noncitizen was released from custody upon being granted relief from removal by an IJ. This release reason category includes Cancellation of Removal, Asylum, or Adjustment of Status forms of relief. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7Other includes book-outs upon termination of removal proceedings by an IJ; transfers to a federal, state, local, or tribal law enforcement agency; death; escape; runaways from the Office of Refugee Resettlement; and release codes that have been retired from ERO Systems of Records. Additionally, a small number of caseses within the other category are those in which updates were made to the case in the system of record, and cases in which a subject was released from an ICE facility for the purpose of being transferred to another facility pending book-in, when the subject was not booked back in within 72 hours. The latter two book-out types do not indicate a change in custody status or a physical release from custody.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: To protect privacy, table cells are rounded to the nearest ten. The totals may not sum due to rounding. Comprehensive ICE book-out outcome data are not available to OHSS prior to 2018. Criminality breakout based on ERO system of record. Other immigration violators are book-outs with no criminal records and no pending criminal charges. Records may not match agency reporting due to differences in reporting methodologies. Data are current as of November 30, 2024; future reporting may include updates to previous reports’ data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Office of Homeland Security Statistics Persist Dataset.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
