date,value,footnote
2025-01-01,141.8,
2025-02-01,142.1,
2025-03-01,141.6,
2025-04-01,141.7,
2025-05-01,141.0,
2025-06-01,140.8,
2025-07-01,141.2,
2025-08-01,141.0,
2025-09-01,140.8,
2025-11-01,141.2,
2025-12-01,141.4,
2026-01-01,142.1,Revised.
2026-02-01,143.5,
2026-03-01,144.8,Revised.
2026-04-01,147.6,
