Return to Table of Contents.,,"* Please click on the ""plus"" sign to the left of the years to expand to see monthly data or the ""minus"" sign to hide it.",,,,,,,,
ERO Administrative Arrests by Criminality: Fiscal Years 2014 to 2025 YTD (November 2024),,,,,,,,,,
,,,Convicted Criminals,,,,,Non-Criminal,,
Fiscal Year,Month,Total,Total Convicted,Aggravated Felons,Felons,Misdemeanors,Other/ Unknown,Total Non-Criminal,Pending Criminal Charges,Other Immigration Violators
,February,9680,5080,1180,1890,1860,150,4600,1770,2830
,March,9630,5130,1010,1950,1960,200,4500,1920,2590
,April,10290,5430,1040,2050,2130,210,4860,2080,2780
,May,10360,5390,1010,1890,2310,180,4960,2300,2660
,June,8570,4620,850,1630,1980,170,3960,2080,1880
,July,9590,5280,970,1910,2220,190,4310,2380,1930
,August,9230,5020,910,1810,2110,190,4210,2610,1610
,September,8470,4500,760,1710,1880,150,3970,2410,1560
2025 YTD,Total,18000,10030,1800,3670,4170,390,7980,5230,2750
,October,9690,5320,980,1930,2200,210,4370,2800,1570
,November,8310,4710,820,1740,1980,170,3610,2430,1180
NA Not available.,,,,,,,,,,
"Notes: To protect privacy, table cells are rounded to the nearest ten. The totals may not sum due to rounding. Table is limited to administrative arrests; criminality refers to the criminal records of the administrative arrestees. Other immigration violators are administrative arrestees with no criminal records and no pending criminal charges. Criminality breakout based on ERO system of record. Aggravated felons, felons, and other are subsets of convicted criminals. Data on pending criminal charges are not available prior to 2018. Information on conviction subcategories are available in ICE ERO systems beginning in FY 2016 but only available in OHSS data beginning in FY 2022. Records may not match agency reporting due to differences in reporting methodologies. Data are current as of November 30, 2024; future reporting may include updates to previous reports’ data.",,,,,,,,,,
Source: Office of Homeland Security Statistics Persist Dataset.,,,,,,,,,,
