state_abbreviation,state_name,reporting_period,total_medicaid_and_chip_enrollment,total_medicaid_enrollment,total_chip_enrollment,medicaid_and_chip_child_enrollment,total_adult_medicaid_enrollment,preliminary_or_updated,period_formatted
WI,Wisconsin,202512,1130048,1029554,100494,539415,590633,U,2025-12
WI,Wisconsin,202601,1119628,1019688,99940,536351,583277,P,2026-01
WV,West Virginia,202501,508322,470526,37796,206291,302031,P,2025-01
WV,West Virginia,202501,508322,470526,37796,206291,302031,U,2025-01
WV,West Virginia,202502,508225,467078,41147,204844,303381,P,2025-02
WV,West Virginia,202502,508225,467078,41147,204844,303381,U,2025-02
WV,West Virginia,202503,505266,464821,40445,202415,302851,P,2025-03
WV,West Virginia,202503,505266,464821,40445,202415,302851,U,2025-03
WV,West Virginia,202504,503701,463666,40035,201745,301956,P,2025-04
WV,West Virginia,202504,503701,463666,40035,201745,301956,U,2025-04
WV,West Virginia,202505,503031,462965,40066,201445,301586,P,2025-05
WV,West Virginia,202505,503031,462965,40066,201445,301586,U,2025-05
WV,West Virginia,202506,501577,461629,39948,200531,301046,P,2025-06
WV,West Virginia,202506,501577,461629,39948,200531,301046,U,2025-06
WV,West Virginia,202507,501077,461142,39935,200179,300898,P,2025-07
WV,West Virginia,202507,501077,461142,39935,200179,300898,U,2025-07
WV,West Virginia,202508,498894,459501,39393,198644,300250,P,2025-08
WV,West Virginia,202508,498894,459501,39393,198644,300250,U,2025-08
WV,West Virginia,202509,498188,458947,39241,198029,300159,P,2025-09
WV,West Virginia,202509,498188,458947,39241,198029,300159,U,2025-09
WV,West Virginia,202510,497764,458072,39692,197772,299992,P,2025-10
WV,West Virginia,202510,497764,458072,39692,197772,299992,U,2025-10
WV,West Virginia,202511,491398,451904,39494,195250,296148,P,2025-11
WV,West Virginia,202511,491398,451904,39494,195250,296148,U,2025-11
WV,West Virginia,202512,490156,450475,39681,194725,295431,P,2025-12
WV,West Virginia,202512,490156,450475,39681,194725,295431,U,2025-12
WV,West Virginia,202601,488333,448685,39648,194149,294184,P,2026-01
WY,Wyoming,202501,62693,56654,6039,42759,19934,P,2025-01
WY,Wyoming,202501,64227,58110,6117,43829,20398,U,2025-01
WY,Wyoming,202502,62570,56403,6167,42719,19851,P,2025-02
WY,Wyoming,202502,63816,57698,6118,43527,20289,U,2025-02
WY,Wyoming,202503,62334,56401,5933,42524,19810,P,2025-03
WY,Wyoming,202503,63417,57366,6051,43273,20144,U,2025-03
WY,Wyoming,202504,62182,56143,6039,42531,19651,P,2025-04
WY,Wyoming,202504,63078,56972,6106,43124,19954,U,2025-04
WY,Wyoming,202505,61694,55908,5786,42148,19546,P,2025-05
WY,Wyoming,202505,62762,56896,5866,42872,19890,U,2025-05
WY,Wyoming,202506,61683,55809,5874,42147,19536,P,2025-06
WY,Wyoming,202506,62202,56293,5909,42458,19744,U,2025-06
WY,Wyoming,202507,61342,55488,5854,41919,19423,P,2025-07
WY,Wyoming,202507,62021,56121,5900,42348,19673,U,2025-07
WY,Wyoming,202508,60814,54919,5895,41551,19263,P,2025-08
WY,Wyoming,202508,61564,55597,5967,42022,19542,U,2025-08
WY,Wyoming,202509,59571,53659,5912,40584,18987,P,2025-09
WY,Wyoming,202509,60384,54433,5951,41125,19259,U,2025-09
WY,Wyoming,202510,59714,53809,5905,40672,19042,P,2025-10
WY,Wyoming,202510,60444,54504,5940,41143,19301,U,2025-10
WY,Wyoming,202511,58711,53028,5683,39861,18850,P,2025-11
WY,Wyoming,202511,59940,54143,5797,40750,19190,U,2025-11
WY,Wyoming,202512,59286,53439,5847,40269,19017,P,2025-12
WY,Wyoming,202512,60450,54505,5945,41133,19317,U,2025-12
WY,Wyoming,202601,59735,53702,6033,40680,19055,P,2026-01
