month,total_arrests
2025-01,7327
2025-02,16944
2025-03,18389
2025-04,17455
2025-05,22070
2025-06,29237
2025-07,26412
2025-08,27428
2025-09,32327
2025-10,36655
2025-11,34177
2025-12,39387
2026-01,37156
2026-02,29304
2026-03,10206
2026-09,1
