date,value,footnote
2025-01-01,35.84,
2025-02-01,35.94,
2025-03-01,36.11,
2025-04-01,36.12,
2025-05-01,36.28,
2025-06-01,36.36,
2025-07-01,36.47,
2025-08-01,36.62,
2025-09-01,36.7,
2025-10-01,36.85,
2025-11-01,37.0,
2025-12-01,37.02,
2026-01-01,37.15,
2026-02-01,37.27,
2026-03-01,37.35,preliminary
2026-04-01,37.41,preliminary
